material_description,vendor,material_price,link,dow,location,zip,region,date,raw_material,steel_price,copper_price,target_price
1/2 in. Electrical Metallic Tube (EMT) Set-Screw Connectors (5-Pack),lowes,5.99,https://www.lowes.com/pd/Sigma-Electric-ProConnex-1-2-in-Set-Screw-Connector-Electrical-Metal-Tubing-Compatible-Conduit-Fitting/1000152643,Saturday,"1000 Lowe's Blvd. Mooresville, NC, 28117",28117,east,2022-11-05,steel,1600.95,7953.85,high price
1/2 in. Electrical Metallic Tube (EMT) Set-Screw Connectors (5-Pack),wilmar,2.1,https://www.wilmar.com/Sku/202077151/halex-12-in-electrical-metallic-tube-emt-set-screw-coupling-5-pack-051411232207-23220,Saturday,"28 Biopolis Road. Singapore, 138568",other,other,2022-11-05,steel,1600.95,7953.85,low price
1/2 in. Electrical Metallic Tube (EMT) Set-Screw Connectors (5-Pack),ebay,9.99,https://www.ebay.com/itm/203256309046,Saturday,"2025 Hamilton Avenue. San Jose, California, 95125",95125,west,2022-11-05,steel,1600.95,7953.85,high price
1/2 in. Electrical Metallic Tube (EMT) Set-Screw Connectors (5-Pack),amazon,8.54,https://www.amazon.com/Halex-26270-STEEL-CONNECTOR-Silver/dp/B00L2J46LW,Saturday,"410 Terry Ave N. Seattle, WA, 98109",98109,west,2022-11-05,steel,1600.95,7953.85,high price
1/2 in. Electrical Metallic Tube (EMT) Set-Screw Connectors (5-Pack),homedepot,3.98,https://www.homedepot.com/p/Halex-1-2-in-Electrical-Metallic-Tube-EMT-Set-Screw-Connectors-5-Pack-26270/100137321,Saturday,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",30339,southeast,2022-11-05,steel,1600.95,7953.85,low price
1/2 in. Electrical Metallic Tube (EMT) Set-Screw Connectors (5-Pack),amazon,5.99,https://www.amazon.com/Halex-26270-STEEL-CONNECTOR-Silver/dp/B00L2J46LW,Friday,"410 Terry Ave N. Seattle, WA, 98109",98109,west,2022-10-21,steel,1580.45,7543.0,high price
1/2 in. Electrical Metallic Tube (EMT) Set-Screw Connectors (5-Pack),lowes,5.99,https://www.lowes.com/pd/Sigma-Electric-ProConnex-1-2-in-Set-Screw-Connector-Electrical-Metal-Tubing-Compatible-Conduit-Fitting/1000152643,Friday,"1000 Lowe's Blvd. Mooresville, NC, 28117",28117,east,2022-10-21,steel,1580.45,7543.0,high price
1/2 in. Electrical Metallic Tube (EMT) Set-Screw Connectors (5-Pack),homedepot,3.98,https://www.homedepot.com/p/Halex-1-2-in-Electrical-Metallic-Tube-EMT-Set-Screw-Connectors-5-Pack-26270/100137321,Friday,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",30339,southeast,2022-10-21,steel,1580.45,7543.0,low price
1/2 in. Electrical Metallic Tube (EMT) Set-Screw Connectors (5-Pack),amazon,8.54,https://www.amazon.com/Halex-26270-STEEL-CONNECTOR-Silver/dp/B00L2J46LW,Tuesday,"410 Terry Ave N. Seattle, WA, 98109",98109,west,2022-11-08,steel,1624.27,7973.0,high price
1/2 in. Electrical Metallic Tube (EMT) Set-Screw Connectors (5-Pack),homedepot,3.98,https://www.homedepot.com/p/Halex-1-2-in-Electrical-Metallic-Tube-EMT-Set-Screw-Connectors-5-Pack-26270/100137321,Thursday,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",30339,southeast,2022-10-20,steel,1500.53,7585.5,low price
