Materials Description,Product id,Material Price,vendor,Link,Formatted Datetime
1 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,100400409,33.34,dkhardware,https://www.dkhardware.com/allied-tube-and-conduit-1-in-x-10-ft-electric-metallic-tube-emt-conduit-101568-product-3154073.html,11/10/2022 12:48:43
3/4 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,100400406,11.91,homedepot,https://www.homedepot.com/p/3-4-in-x-10-ft-Electric-Metallic-Tube-EMT-Conduit-853429/100400406,11/10/2022 12:48:43
3/4 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,100400406,10.47,ebarnett,https://www.ebarnett.com/Sku/2487616/34-in-x-10-ft-electric-metallic-tube-emt-conduit-091111020025-853429,11/10/2022 12:48:43
3/4 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,100400406,8.35,gordonelectricsupply,https://www.gordonelectricsupply.com/p/Allied-898303-Emt-Conduit-3-4-Emt-Conduit-X-10/1673,11/10/2022 12:48:43
1/2 in. Electrical Metallic Tube (EMT) Set-Screw Connectors (5-Pack),100137321,3.98,homedepot,https://www.homedepot.com/p/Halex-1-2-in-Electrical-Metallic-Tube-EMT-Set-Screw-Connectors-5-Pack-26270/100137321,11/10/2022 12:48:43
1/2 in. Electrical Metallic Tube (EMT) Set-Screw Connectors (5-Pack),100137321,5.99,amazon,https://www.amazon.com/Halex-26270-STEEL-CONNECTOR-Silver/dp/B00L2J46LW,11/10/2022 12:48:43
1/2 in. Electrical Metallic Tube (EMT) Set-Screw Connectors (5-Pack),100137321,5.99,lowes,https://www.lowes.com/pd/Sigma-Electric-ProConnex-1-2-in-Set-Screw-Connector-Electrical-Metal-Tubing-Compatible-Conduit-Fitting/1000152643,11/10/2022 12:48:43
1/2 in. Electrical Metallic Tube (EMT) Set-Screw Connectors (5-Pack),100137321,2.1,wilmar,https://www.wilmar.com/Sku/202077151/halex-12-in-electrical-metallic-tube-emt-set-screw-coupling-5-pack-051411232207-23220,11/10/2022 12:48:43
1/2 in. Electrical Metallic Tube (EMT) Set-Screw Connectors (5-Pack),100137321,2.5,com/products/1-2-in-electrical-metallic-tube-emt-set-screw-connectors-5-pack,https://denalibuildingsupply.com/products/1-2-in-electrical-metallic-tube-emt-set-screw-connectors-5-pack,11/10/2022 12:48:43
1/2 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,100400405,7.22,homedepot,https://www.homedepot.com/p/1-2-in-x-10-ft-Electric-Metallic-Tube-EMT-Conduit-853428/100400405,11/10/2022 12:48:43
1/2 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,100400405,5.99,lowes,https://www.lowes.com/pd/Common-1-2-in-Actual-50-In-Metallic-Emt-10-ft-Conduit/3129551,11/10/2022 12:48:43
1/2 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,100400405,4.73,gordonelectricsupply,https://www.gordonelectricsupply.com/p/Allied-898302-Emt-Conduit-1-2-Emt-Conduit-X-10/1608,11/10/2022 12:48:43
1/2 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,100400405,5.88,supplyworks,https://www.supplyworks.com/Sku/2487615/12-in-x-10-ft-electric-metallic-tube-emt-conduit-091111020018-853428,11/10/2022 12:48:43
1/2 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,100400405,5.88,ebarnett,https://www.ebarnett.com/Sku/2487615/12-in-x-10-ft-electric-metallic-tube-emt-conduit-091111020018-853428,11/10/2022 12:48:43
1/2 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,100400405,7.24,menards,https://www.menards.com/main/electrical/conduit-conduit-fittings-raceways/conduit/wheatland-tube-company-emt-conduit/0559010000/p-1444446525135-c-6423.htm,11/10/2022 12:48:43
1 in. Electric Metallic Tube (EMT) Set-Screw Coupling,202241090,1.15,homedepot,https://www.homedepot.com/p/Halex-1-in-Electric-Metallic-Tube-EMT-Set-Screw-Coupling-62810/202241090,11/10/2022 12:48:43
1/2 in. Electric Metallic Tube (EMT) Set-Screw Coupling (5-Pack),100144234,8.54,amazon,https://www.amazon.com/Halex-26270-STEEL-CONNECTOR-Silver/dp/B00L2J46LW,11/10/2022 12:48:43
1/2 in. Electric Metallic Tube (EMT) Set-Screw Coupling (5-Pack),100144234,5.29,rona,https://www.rona.ca/en/product/emt-set-screw-couplings-1-2-5-pk-0320428,11/10/2022 12:48:43
3/4 in. Electrical Metallic Tube (EMT) Set-Screw Connector (5-Pack),202077145,4.6,homedepot,https://www.homedepot.com/p/Halex-3-4-in-Electrical-Metallic-Tube-EMT-Set-Screw-Connectors-5-Pack-26272/100163157,11/10/2022 12:48:43
3/4 in. Electrical Metallic Tube (EMT) Set-Screw Connector (5-Pack),202077145,5.99,lowes,https://www.lowes.com/pd/Halex-3-4-in-EMT-STEEL-SET-SCREW-CONNECTOR-5-BAG/1002846668,11/10/2022 12:48:43
3/4 in. Electrical Metallic Tube (EMT) Set-Screw Connector (5-Pack),202077145,8.63,amazon,https://www.amazon.com/Halex-Electrical-Set-Screw-Connector-12301B/dp/B00FQ570W0,11/10/2022 12:48:43
1 in. Electrical Metallic Tube (EMT) Set-Screw Connector,202077147,1.6,homedepot,https://www.homedepot.com/p/Halex-1-in-Electrical-Metallic-Tube-EMT-Set-Screw-Connector-62710/100562217,11/10/2022 12:48:43
3/4 in. Standard Fitting Electric Metallic Tube (EMT) Set-Screw Coupling (5-Pack),202288508,2.98,homedepot,https://www.homedepot.com/p/Halex-3-4-in-Standard-Fitting-Electric-Metallic-Tube-EMT-Set-Screw-Coupling-5-Pack-26282/202288508,11/10/2022 12:48:43
3/4 in. Standard Fitting Electric Metallic Tube (EMT) Set-Screw Coupling (5-Pack),202288508,5.99,lowes,https://www.lowes.com/pd/Sigma-Electric-ProConnex-3-4-in-Set-Screw-Coupling-Electrical-Metal-Tubing-Compatible-Conduit-Fitting/1100265,11/10/2022 12:48:43
3/4 in. Standard Fitting Electric Metallic Tube (EMT) Set-Screw Coupling (5-Pack),202288508,2.98,pinterest,https://www.pinterest.com/pin/230668812499210604/,11/10/2022 12:48:43
500 ft. 14-Gauge Black Stranded CU THHN Wire,203401613,81.95,homedepot,https://www.homedepot.com/p/Southwire-500-ft-14-Gauge-Black-Stranded-CU-THHN-Wire-22955958/203401613,11/10/2022 12:48:43
500 ft. 14-Gauge Black Stranded CU THHN Wire,203401613,75.99,amazon,https://www.amazon.com/Cerro-112-3451J-500-Feet-14-Gauge-Stranded/dp/B00D49VOI6,11/10/2022 12:48:43
500 ft. 14-Gauge Black Stranded CU THHN Wire,203401613,80.0,wireandcableyourway,https://www.wireandcableyourway.com/14-awg-thhn-stranded-building-wire-500ft-or-2500ft-spool,11/10/2022 12:48:43
500 ft. 14-Gauge Black Stranded CU THHN Wire,203401613,60.0,ebay,https://www.ebay.com/p/1203573345,11/10/2022 12:48:43
500 ft. 12 Gauge Black Stranded Copper THHN Wire,202304641,106.0,homedepot,https://www.homedepot.com/p/Southwire-500-ft-12-Black-Stranded-CU-THHN-Wire-22964158/203401696,11/10/2022 12:48:43
500 ft. 12 Gauge Black Stranded Copper THHN Wire,202304641,117.0,lowes,https://www.lowes.com/pd/Southwire-500-ft-12-AWG-Stranded-Black-Copper-THHN-Wire-By-the-Roll/3659372,11/10/2022 12:48:43
500 ft. 12 Gauge Black Stranded Copper THHN Wire,202304641,114.95,amazon,https://www.amazon.com/Gauge-Stranded-Copper-Wire-Black/dp/B0875QSY74,11/10/2022 12:48:43
500 ft. 10 Gauge Black Stranded Copper THHN Wire,202304645,156.0,homedepot,https://www.homedepot.com/p/Southwire-500-ft-10-Black-Stranded-CU-THHN-Wire-22973257/202316335,11/10/2022 12:48:43
500 ft. 10 Gauge Black Stranded Copper THHN Wire,202304645,155.99,amazon,https://www.amazon.com/Gauge-Stranded-Copper-Building-Wire/dp/B08DZMFZTR,11/10/2022 12:48:43
500 ft. 10 Gauge Black Stranded Copper THHN Wire,202304645,165.0,wireandcableyourway,https://www.wireandcableyourway.com/10-awg-thhn-stranded-wire-500ft-1000ft-or-2500ft-spool,11/10/2022 12:48:43
250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,202019377,118.0,homedepot,https://www.homedepot.com/p/Southwire-250-ft-14-2-Romex-SIMpull-Solid-NM-B-W-G-Wire-28827469/202019377,11/10/2022 12:48:43
250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,202019377,116.93,amazon,https://www.amazon.com/SOUTHWIRE-COMPANY-28827455-250-Cable/dp/B000LNOJVW,11/10/2022 12:48:43
250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,202019377,118.0,lowes,https://www.lowes.com/pd/Southwire-Romex-SIMpull-250-ft-14-2-Non-Metallic-Wire-By-the-Roll/1193437,11/10/2022 12:48:43
250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,202019377,111.07,ebay,https://www.ebay.com/itm/363478081520,11/10/2022 12:48:43
250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,202019377,84.99,landmsupply,https://www.landmsupply.com/southwire-romex-simpull-cable-w-ground-white-14-2-awg-250-ft-28827455,11/10/2022 12:48:43
250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,202019377,90.0,com/products/southwire-romex-simpull-250-ft-14-2-solid-non-metallic-wire-by-the-roll,https://denalibuildingsupply.com/products/southwire-romex-simpull-250-ft-14-2-solid-non-metallic-wire-by-the-roll,11/10/2022 12:48:43
250 ft. 14/3 Solid Romex SIMpull CU NM-B W/G Wire,202316275,159.0,homedepot,https://www.homedepot.com/p/Southwire-250-ft-14-3-Solid-Romex-SIMpull-CU-NM-B-W-G-Wire-63946855/202316275,11/10/2022 12:48:43
250 ft. 14/3 Solid Romex SIMpull CU NM-B W/G Wire,202316275,146.0,lowes,https://www.lowes.com/pd/Southwire-Romex-SIMpull-250-ft-14-3-Non-Metallic-Wire-By-the-Roll/3129317,11/10/2022 12:48:43
250 ft. 14/3 Solid Romex SIMpull CU NM-B W/G Wire,202316275,143.99,amazon,https://www.amazon.com/14-3-romex/s?k=14%2F3+romex,11/10/2022 12:48:43
250 ft. 14/3 Solid Romex SIMpull CU NM-B W/G Wire,202316275,330.85,ebarnett,https://www.ebarnett.com/Sku/2487708/southwire-250-ft-143-solid-romex-simpull-cu-nm-b-wg-wire-032886163500-63946855,11/10/2022 12:48:43
250 ft. 12/2 Solid Romex SIMpull CU NM-B W/G Wire,202019375,149.0,homedepot,https://www.homedepot.com/p/Southwire-250-ft-12-2-Solid-Romex-SIMpull-CU-NM-B-W-G-Wire-28828269/202019375,11/10/2022 12:48:43
250 ft. 12/2 Solid Romex SIMpull CU NM-B W/G Wire,202019375,149.0,lowes,https://www.lowes.com/pd/Southwire-Romex-SIMpull-250-ft-12-2-Non-Metallic-Wire-By-the-Roll/1193433,11/10/2022 12:48:43
250 ft. 12/3 Solid Romex SIMpull CU NM-B W/G Wire,202316276,289.0,homedepot,https://www.homedepot.com/p/Southwire-250-ft-12-3-Solid-Romex-SIMpull-CU-NM-B-W-G-Wire-63947655/202316276,11/10/2022 12:48:43
250 ft. 12/3 Solid Romex SIMpull CU NM-B W/G Wire,202316276,315.01,ebay,https://www.ebay.com/itm/203899220280,11/10/2022 12:48:43
