vendor,location,formatted_datetime
homedepot,"['2455 Paces Ferry Rd SE, Atlanta, GA 30339']",11/03/2022 15:27:33
wilmar,['28 Biopolis Road Singapore 138568'],11/03/2022 15:27:33
ebarnett,"['Jacksonville, Florida']",11/03/2022 15:27:33
gordonelectricsupply,"['Kankakee, 1290 N Hobbie Ave. HQ']",11/03/2022 15:27:33
amazon,['the National Landing neighborhood of Arlington'],11/03/2022 15:27:33
lowes,"[""1000 Lowe's Blvd. Mooresville NC 28117""]",11/03/2022 15:27:33
supplyworks,"['101 Industrial Dr Bristol, TN, 37620-5422']",11/03/2022 15:27:33
menards,"['4777 Menard Drive Eau Claire, Wisconsin 54703 USA']",11/03/2022 15:27:33
com/p/steel-city-emt-conduit-connector-785991183801,"['Steel City', 'connector', 'EMT conduit', 'Connector', 'steel']",11/03/2022 15:27:33
pinterest,"['San Francisco, CA']",11/03/2022 15:27:33
ebay,"['San Jose, CA. 2025 Hamilton Avenue San Jose, California 95125 USA']",11/03/2022 15:27:33
landmsupply,"['Grand Rapids, Minnesota, United States']",11/03/2022 15:27:33
walmart,"['Bentonville, Arkansas']",11/03/2022 15:27:33
qcsupply,"['574 Road 11, Schuyler, Nebraska, 68661, United States']",11/03/2022 15:27:33
