material_description,material_price,product_id,vendor_location,link,formatted_datetime,link_id
1 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,20.62,100400409,homedepot,https://www.homedepot.com/p/1-in-x-10-ft-Electric-Metallic-Tube-EMT-Conduit-101568/100400409,10/31/2022 08:51:30,0
1 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,17.55,100400409,wilmar,https://www.wilmar.com/Sku/24-87610/1-in-x-10-ft-electric-metallic-tube-emt-conduit-091111020032-101568,10/31/2022 08:51:30,1
1 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,8.9,100400409,linemen-tools,https://www.linemen-tools.com/Electrical_Materials_Tubing_EMT_Conduit_1_x_10_p/wal-emt100.htm,10/31/2022 08:51:30,2
1 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,33.34,100400409,dkhardware,https://www.dkhardware.com/allied-tube-and-conduit-1-in-x-10-ft-electric-metallic-tube-emt-conduit-101568-product-3154073.html,10/31/2022 08:51:30,3
3/4 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,11.91,100400406,homedepot,https://www.homedepot.com/p/3-4-in-x-10-ft-Electric-Metallic-Tube-EMT-Conduit-853429/100400406,10/31/2022 08:51:30,4
3/4 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,10.47,100400406,ebarnett,https://www.ebarnett.com/Sku/2487616/34-in-x-10-ft-electric-metallic-tube-emt-conduit-091111020025-853429,10/31/2022 08:51:30,5
3/4 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,8.12,100400406,gordonelectricsupply,https://www.gordonelectricsupply.com/p/Allied-898303-Emt-Conduit-3-4-Emt-Conduit-X-10/1673,10/31/2022 08:51:30,6
1/2 in. Electrical Metallic Tube (EMT) Set-Screw Connectors (5-Pack),3.98,100137321,homedepot,https://www.homedepot.com/p/Halex-1-2-in-Electrical-Metallic-Tube-EMT-Set-Screw-Connectors-5-Pack-26270/100137321,10/31/2022 08:51:30,7
1/2 in. Electrical Metallic Tube (EMT) Set-Screw Connectors (5-Pack),8.41,100137321,amazon,https://www.amazon.com/Halex-26270-STEEL-CONNECTOR-Silver/dp/B00L2J46LW,10/31/2022 08:51:30,8
1/2 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,4.59,100400405,gordonelectricsupply,https://www.gordonelectricsupply.com/p/Allied-898302-Emt-Conduit-1-2-Emt-Conduit-X-10/1608,10/31/2022 08:51:30,9
1 in. Electric Metallic Tube (EMT) Set-Screw Coupling,1.15,202241090,homedepot,https://www.homedepot.com/p/Halex-1-in-Electric-Metallic-Tube-EMT-Set-Screw-Coupling-62810/202241090,10/31/2022 08:51:30,10
