link,material_description,material_price,product_id,vendor,location,formatted_datetime
https://www.homedepot.com/p/1-in-x-10-ft-Electric-Metallic-Tube-EMT-Conduit-101568/100400409,1 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,20.62,100400409,homedepot,"['2455 Paces Ferry Rd SE, Atlanta, GA 30339']",11/03/2022 15:27:33
https://www.wilmar.com/Sku/24-87610/allied-tube-and-conduit-1-in-x-10-ft-electric-metallic-tube-emt-conduit-091111020032-101568,1 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,17.55,100400409,wilmar,['28 Biopolis Road Singapore 138568'],11/03/2022 15:27:33
https://www.homedepot.com/p/3-4-in-x-10-ft-Electric-Metallic-Tube-EMT-Conduit-853429/100400406,3/4 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,11.91,100400406,homedepot,"['2455 Paces Ferry Rd SE, Atlanta, GA 30339']",11/03/2022 15:27:33
https://www.ebarnett.com/Sku/2487616/34-in-x-10-ft-electric-metallic-tube-emt-conduit-091111020025-853429,3/4 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,10.47,100400406,ebarnett,"['Jacksonville, Florida']",11/03/2022 15:27:33
https://www.gordonelectricsupply.com/p/Allied-898303-Emt-Conduit-3-4-Emt-Conduit-X-10/1673,3/4 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,8.12,100400406,gordonelectricsupply,"['Kankakee, 1290 N Hobbie Ave. HQ']",11/03/2022 15:27:33
https://www.homedepot.com/p/Halex-1-2-in-Electrical-Metallic-Tube-EMT-Set-Screw-Connectors-5-Pack-26270/100137321,1/2 in. Electrical Metallic Tube (EMT) Set-Screw Connectors (5-Pack),3.98,100137321,homedepot,"['2455 Paces Ferry Rd SE, Atlanta, GA 30339']",11/03/2022 15:27:33
https://www.amazon.com/Halex-26270-STEEL-CONNECTOR-Silver/dp/B00L2J46LW,1/2 in. Electrical Metallic Tube (EMT) Set-Screw Connectors (5-Pack),5.99,100137321,amazon,['the National Landing neighborhood of Arlington'],11/03/2022 15:27:33
https://www.lowes.com/pd/Sigma-Electric-ProConnex-1-2-in-Set-Screw-Connector-Electrical-Metal-Tubing-Compatible-Conduit-Fitting/1000152643,1/2 in. Electrical Metallic Tube (EMT) Set-Screw Connectors (5-Pack),5.99,100137321,lowes,"[""1000 Lowe's Blvd. Mooresville NC 28117""]",11/03/2022 15:27:33
https://www.wilmar.com/Sku/202077151/halex-12-in-electrical-metallic-tube-emt-set-screw-coupling-5-pack-051411232207-23220,1/2 in. Electrical Metallic Tube (EMT) Set-Screw Connectors (5-Pack),2.1,100137321,wilmar,['28 Biopolis Road Singapore 138568'],11/03/2022 15:27:33
https://www.homedepot.com/p/1-2-in-x-10-ft-Electric-Metallic-Tube-EMT-Conduit-853428/100400405,1/2 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,7.22,100400405,homedepot,"['2455 Paces Ferry Rd SE, Atlanta, GA 30339']",11/03/2022 15:27:33
