material_description,formatted_datetime
1/2 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,11/01/2022 16:20:25
3/4 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,11/01/2022 16:20:25
1 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,11/01/2022 16:20:25
1/2 in. Electric Metallic Tube (EMT) Set-Screw Coupling (5-Pack),11/01/2022 16:20:25
3/4 in. Standard Fitting Electric Metallic Tube (EMT) Set-Screw Coupling (5-Pack),11/01/2022 16:20:25
1 in. Electric Metallic Tube (EMT) Set-Screw Coupling,11/01/2022 16:20:25
1/2 in. Electrical Metallic Tube (EMT) Set-Screw Connectors (5-Pack),11/01/2022 16:20:25
3/4 in. Electrical Metallic Tube (EMT) Set-Screw Connector (5-Pack),11/01/2022 16:20:25
1 in. Electrical Metallic Tube (EMT) Set-Screw Connector,11/01/2022 16:20:25
250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,11/01/2022 16:20:25
250 ft. 14/3 Solid Romex SIMpull CU NM-B W/G Wire,11/01/2022 16:20:25
250 ft. 12/2 Solid Romex SIMpull CU NM-B W/G Wire,11/01/2022 16:20:25
250 ft. 12/3 Solid Romex SIMpull CU NM-B W/G Wire,11/01/2022 16:20:25
500 ft. 4 Gauge Black Stranded Copper THHN Wire,11/01/2022 16:20:25
500 ft. 6 Gauge Black Stranded Copper THHN Wire,11/01/2022 16:20:25
500 ft. 10 Gauge Black Stranded Copper THHN Wire,11/01/2022 16:20:25
