product_id,material_description,formatted_datetime
100400405,1/2 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,10/31/2022 08:51:17
100400406,3/4 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,10/31/2022 08:51:17
100400409,1 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,10/31/2022 08:51:17
100144234,1/2 in. Electric Metallic Tube (EMT) Set-Screw Coupling (5-Pack),10/31/2022 08:51:17
202288508,3/4 in. Standard Fitting Electric Metallic Tube (EMT) Set-Screw Coupling (5-Pack),10/31/2022 08:51:17
202241090,1 in. Electric Metallic Tube (EMT) Set-Screw Coupling,10/31/2022 08:51:17
100137321,1/2 in. Electrical Metallic Tube (EMT) Set-Screw Connectors (5-Pack),10/31/2022 08:51:17
202077145,3/4 in. Electrical Metallic Tube (EMT) Set-Screw Connector (5-Pack),10/31/2022 08:51:17
202077147,1 in. Electrical Metallic Tube (EMT) Set-Screw Connector,10/31/2022 08:51:17
202019377,250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,10/31/2022 08:51:17
202316275,250 ft. 14/3 Solid Romex SIMpull CU NM-B W/G Wire,10/31/2022 08:51:17
202019375,250 ft. 12/2 Solid Romex SIMpull CU NM-B W/G Wire,10/31/2022 08:51:17
202316276,250 ft. 12/3 Solid Romex SIMpull CU NM-B W/G Wire,10/31/2022 08:51:17
203401579,500 ft. 14-Gauge Black Solid CU THHN Wire,10/31/2022 08:51:17
202304641,500 ft. 12 Gauge Black Stranded Copper THHN Wire,10/31/2022 08:51:17
202304645,500 ft. 10 Gauge Black Stranded Copper THHN Wire,10/31/2022 08:51:17
