vendor_id,vendor_location,formatted_datetime
0,homedepot,10/31/2022 08:51:30
1,wilmar,10/31/2022 08:51:30
2,linemen-tools,10/31/2022 08:51:30
3,dkhardware,10/31/2022 08:51:30
4,ebarnett,10/31/2022 08:51:30
5,gordonelectricsupply,10/31/2022 08:51:30
6,amazon,10/31/2022 08:51:30
7,lowes,10/31/2022 08:51:30
8,com/p/steel-city-emt-conduit-connector-785991183801,10/31/2022 08:51:30
9,pinterest,10/31/2022 08:51:30
10,wireandcableyourway,10/31/2022 08:51:30
11,ebay,10/31/2022 08:51:30
12,landmsupply,10/31/2022 08:51:30
13,socalelectric,10/31/2022 08:51:30
