material_description,price,product_id,vendor_location,link,formatted_datetime
1/2 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,4.59,100400405,gordonelectricsupply,https://www.gordonelectricsupply.com/p/Allied-898302-Emt-Conduit-1-2-Emt-Conduit-X-10/1608,10/30/2022 13:15:12
3/4 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,8.12,100400406,ebarnett,https://www.ebarnett.com/Sku/2487616/34-in-x-10-ft-electric-metallic-tube-emt-conduit-091111020025-853429,10/30/2022 13:15:12
1 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,8.9,100400409,dkhardware,https://www.dkhardware.com/allied-tube-and-conduit-1-in-x-10-ft-electric-metallic-tube-emt-conduit-101568-product-3154073.html,10/30/2022 13:15:12
1/2 in. Electric Metallic Tube (EMT) Set-Screw Coupling (5-Pack),3.98,100144234,amazon,https://www.amazon.com/Halex-26270-STEEL-CONNECTOR-Silver/dp/B00L2J46LW,10/30/2022 13:15:12
3/4 in. Standard Fitting Electric Metallic Tube (EMT) Set-Screw Coupling (5-Pack),2.98,202288508,homedepot,https://www.homedepot.com/p/Halex-3-4-in-Standard-Fitting-Electric-Metallic-Tube-EMT-Set-Screw-Coupling-5-Pack-26282/202288508,10/30/2022 13:15:12
1 in. Electric Metallic Tube (EMT) Set-Screw Coupling,1.15,202241090,homedepot,https://www.homedepot.com/p/Halex-1-in-Electric-Metallic-Tube-EMT-Set-Screw-Coupling-62810/202241090,10/30/2022 13:15:12
1/2 in. Electrical Metallic Tube (EMT) Set-Screw Connectors (5-Pack),3.98,100137321,amazon,https://www.amazon.com/Halex-26270-STEEL-CONNECTOR-Silver/dp/B00L2J46LW,10/30/2022 13:15:12
3/4 in. Electrical Metallic Tube (EMT) Set-Screw Connector (5-Pack),4.6,202077145,homedepot,https://www.homedepot.com/p/Halex-3-4-in-Electrical-Metallic-Tube-EMT-Set-Screw-Connectors-5-Pack-26272/100163157,10/30/2022 13:15:12
1 in. Electrical Metallic Tube (EMT) Set-Screw Connector,1.6,202077147,com/p/steel-city-emt-conduit-connector-785991183801,https://killingworthtruevalue.com/p/steel-city-emt-conduit-connector-785991183801,10/30/2022 13:15:12
250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,84.99,202019377,amazon,https://www.amazon.com/SOUTHWIRE-COMPANY-28827455-250-Cable/dp/B000LNOJVW,10/30/2022 13:15:12
250 ft. 14/3 Solid Romex SIMpull CU NM-B W/G Wire,159.0,202316275,homedepot,https://www.homedepot.com/p/Southwire-250-ft-14-3-Solid-Romex-SIMpull-CU-NM-B-W-G-Wire-63946855/202316275,10/30/2022 13:15:12
250 ft. 12/2 Solid Romex SIMpull CU NM-B W/G Wire,149.0,202019375,dkhardware,https://www.dkhardware.com/southwire-250-ft-12-2-solid-romex-simpull-cu-nm-b-w-g-wire-28828255-product-3154834.html,10/30/2022 13:15:12
250 ft. 12/3 Solid Romex SIMpull CU NM-B W/G Wire,279.0,202316276,homedepot,https://www.homedepot.com/p/Southwire-250-ft-12-3-Solid-Romex-SIMpull-CU-NM-B-W-G-Wire-63947655/202316276,10/30/2022 13:15:12
,,,,,
,,,,,
500 ft. 10 Gauge Black Stranded Copper THHN Wire,145.0,202304645,amazon,https://www.amazon.com/Gauge-Stranded-Copper-Building-Wire/dp/B08DZMFZTR,10/30/2022 13:15:12
