Materials Description,Product id,Material Price,vendor,location,Link,Formatted Datetime
1 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,100400409,20.62,homedepot,"['2455 Paces Ferry Rd. Atlanta, GA 30339']",https://www.homedepot.com/p/1-in-x-10-ft-Electric-Metallic-Tube-EMT-Conduit-101568/100400409,11/04/2022 10:50:33
1 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,100400409,17.55,wilmar,"['28 Biopolis Road, Singapore, 138568']",https://www.wilmar.com/Sku/24-87610/allied-tube-and-conduit-1-in-x-10-ft-electric-metallic-tube-emt-conduit-091111020032-101568,11/04/2022 10:50:33
3/4 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,100400406,11.91,homedepot,"['2455 Paces Ferry Rd. Atlanta, GA 30339']",https://www.homedepot.com/p/3-4-in-x-10-ft-Electric-Metallic-Tube-EMT-Conduit-853429/100400406,11/04/2022 10:50:33
3/4 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,100400406,10.47,ebarnett,['location'],https://www.ebarnett.com/Sku/2487616/34-in-x-10-ft-electric-metallic-tube-emt-conduit-091111020025-853429,11/04/2022 10:50:33
3/4 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,100400406,8.6,gordonelectricsupply,"['1290 North Hobbie Street Kankakee, IL 60901']",https://www.gordonelectricsupply.com/p/Allied-898303-Emt-Conduit-3-4-Emt-Conduit-X-10/1673,11/04/2022 10:50:33
1/2 in. Electrical Metallic Tube (EMT) Set-Screw Connectors (5-Pack),100137321,3.98,homedepot,"['2455 Paces Ferry Rd. Atlanta, GA 30339']",https://www.homedepot.com/p/Halex-1-2-in-Electrical-Metallic-Tube-EMT-Set-Screw-Connectors-5-Pack-26270/100137321,11/04/2022 10:50:33
1/2 in. Electrical Metallic Tube (EMT) Set-Screw Connectors (5-Pack),100137321,8.54,amazon,"['410 Terry Ave N, Seattle 98109, WA']",https://www.amazon.com/Halex-26270-STEEL-CONNECTOR-Silver/dp/B00L2J46LW,11/04/2022 10:50:33
1/2 in. Electrical Metallic Tube (EMT) Set-Screw Connectors (5-Pack),100137321,5.99,lowes,"['1000 Lowes Blvd., Mooresville, NC 28117']",https://www.lowes.com/pd/Sigma-Electric-ProConnex-1-2-in-Set-Screw-Connector-Electrical-Metal-Tubing-Compatible-Conduit-Fitting/1000152643,11/04/2022 10:50:33
1/2 in. Electrical Metallic Tube (EMT) Set-Screw Connectors (5-Pack),100137321,2.1,wilmar,"['28 Biopolis Road, Singapore, 138568']",https://www.wilmar.com/Sku/202077151/halex-12-in-electrical-metallic-tube-emt-set-screw-coupling-5-pack-051411232207-23220,11/04/2022 10:50:33
1/2 in. Electrical Metallic Tube (EMT) Set-Screw Connectors (5-Pack),100137321,9.99,ebay,"['2025 Hamilton Ave, San Jose, CA 95125']",https://www.ebay.com/itm/203256309046,11/04/2022 10:50:33
1/2 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,100400405,7.22,homedepot,"['2455 Paces Ferry Rd. Atlanta, GA 30339']",https://www.homedepot.com/p/1-2-in-x-10-ft-Electric-Metallic-Tube-EMT-Conduit-853428/100400405,11/04/2022 10:50:33
1/2 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,100400405,5.99,lowes,"['1000 Lowes Blvd., Mooresville, NC 28117']",https://www.lowes.com/pd/Common-1-2-in-Actual-50-In-Metallic-Emt-10-ft-Conduit/3129551,11/04/2022 10:50:33
1/2 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,100400405,4.86,gordonelectricsupply,"['1290 North Hobbie Street Kankakee, IL 60901']",https://www.gordonelectricsupply.com/p/Allied-898302-Emt-Conduit-1-2-Emt-Conduit-X-10/1608,11/04/2022 10:50:33
