vendor_id,vendor,location
0,homedepot,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339"
1,lowes,"1000 Lowe's Blvd. Mooresville, NC, 28117"
2,gordonelectricsupply,"1290 N Hobbie Ave. Kankakee, Illinois, 60901"
3,supplyworks,"6260 Abbott Dr. Omaha, Nebraska, 68110"
4,ebarnett,"4601 Bulls Bay Hwy #100. Jacksonville, FL, 32219"
5,menards,"4777 Menard Drive. Eau Claire, Wisconsin, 54703"
6,amazon,"410 Terry Ave N. Seattle, WA, 98109"
7,ebay,"2025 Hamilton Avenue. San Jose, California, 95125"
8,landmsupply,"1200 E Us Hwy 169. Grand Rapids, Minnesota, 55744"
9,walmart,"702 S.W. 8th St. Bentonville, Arkansas, 72716"
10,qcsupply,"574 Road 11. Schuyler, Nebraska, 68661"
11,wireandcableyourway,"1431 7th St Ste 204. Santa Monica, California, 90401"
12,pinterest,"651 Brannan St. San Francisco, CA, 94107"
13,southwestlumber,"1917 S Avenue B. Yuma, AZ, 85364"
14,linemen-tools,"5941 1st Avenue Eastman, GA, 31023"
15,dkhardware,"1835 E Hallandale Bch 264 Hallandale. Beach, FL, 33009"
16,cooper-electric,"1 Matrix Drive. Monroe, NJ, 08831"
17,truevalue,"8600 W Bryn Mawr Ave. Chicago, IL, 60631"
18,wilmar,"28 Biopolis Road. Singapore, 138568"
19,rona,"220 ch du Tremblay Boucherville. QC, J4B 8H7, Canada"
20,socalelectric,"5512 West Pico Blvd. Los Angeles, CA, 90019"
21,superarbor,online
22,com/p/solid-romex-simpull-cu-nm-b-wire-032886163005,online
23,com/p/halex-screw-emt-conduit-connector-051411262723,online
24,com/p/steel-city-emt-conduit-connector-785991183801,online
25,com/products/southwire-romex-simpull-250-ft-14-2-solid-non-metallic-wire-by-the-roll,online
26,ca/1-2-x-10-emt-conduit-1022191,online
27,homehardware,online
