material_description,material_price,vendor,link,formatted_datetime
1/2 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,4.73,ebay,https://www.ebay.com/p/1700352648,10/20/2022 20:22
3/4 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,8.36,ebarnett,https://www.ebarnett.com/Sku/2487616/34-in-x-10-ft-electric-metallic-tube-emt-conduit-091111020025-853429,10/20/2022 20:22
1 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,8.9,homedepot,https://www.homedepot.com/p/1-in-x-10-ft-Electric-Metallic-Tube-EMT-Conduit-101568/100400409,10/20/2022 20:22
1/2 in. Electric Metallic Tube (EMT) Set-Screw Coupling (5-Pack),2.1,amazon,https://dslsupply.com/halex-1-2-in-electrical-metallic-tube-emt-set-screw-coupling-5-pack-part-26280/,10/20/2022 20:22
3/4 in. Standard Fitting Electric Metallic Tube (EMT) Set-Screw Coupling (5-Pack),2.98,homedepot,https://www.homedepot.com/p/Halex-3-4-in-Electric-Metallic-Tube-EMT-Set-Screw-Coupling-5-Pack-26282/202288508,10/20/2022 20:22
1 in. Electric Metallic Tube (EMT) Set-Screw Coupling,1.15,homedepot,https://www.homedepot.com/p/Halex-1-in-Electric-Metallic-Tube-EMT-Set-Screw-Coupling-62810/202241090,10/20/2022 20:22
1/2 in. Electrical Metallic Tube (EMT) Set-Screw Connectors (5-Pack),3.98,amazon,https://www.amazon.com/Halex-26270-STEEL-CONNECTOR-Silver/dp/B00L2J46LW,10/20/2022 20:22
3/4 in. Electrical Metallic Tube (EMT) Set-Screw Connector (5-Pack),4.6,homedepot,https://www.homedepot.com/p/Halex-3-4-in-Electrical-Metallic-Tube-EMT-Set-Screw-Connectors-5-Pack-26272/100163157,10/20/2022 20:22
1 in. Electrical Metallic Tube (EMT) Set-Screw Connector,1.6,homedepot,https://www.homedepot.com/p/Halex-1-in-Electrical-Metallic-Tube-EMT-Set-Screw-Connector-62710/100562217,10/20/2022 20:22
250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,90,amazon,https://denalibuildingsupply.com/products/southwire-romex-simpull-250-ft-14-2-solid-non-metallic-wire-by-the-roll,10/20/2022 20:22
250 ft. 14/3 Solid Romex SIMpull CU NM-B W/G Wire,157,dkhardware,https://www.dkhardware.com/southwire-250-ft-14-3-solid-romex-simpull-cu-nm-b-w-g-wire-63946855-product-3154366.html,10/20/2022 20:22
250 ft. 12/2 Solid Romex SIMpull CU NM-B W/G Wire,149,dkhardware,https://www.dkhardware.com/southwire-250-ft-12-2-solid-romex-simpull-cu-nm-b-w-g-wire-28828255-product-3154834.html,10/20/2022 20:22
250 ft. 12/3 Solid Romex SIMpull CU NM-B W/G Wire,289,homedepot,https://www.homedepot.com/p/Southwire-250-ft-12-3-Solid-Romex-SIMpull-CU-NM-B-W-G-Wire-63947655/202316276,10/20/2022 20:22
500 ft. 4 Gauge Black Stranded Copper THHN Wire,613.64,amazon,https://www.amazon.com/SOUTHWIRE-COMPANY-LL-20499001-Stranded/dp/B002JFY1W2,10/20/2022 20:22
500 ft. 6 Gauge Black Stranded Copper THHN Wire,355.5,amazon,https://www.amazon.com/Cerrowire-112-4201J-500-Feet-Stranded-Black/dp/B00D49VU6W,10/20/2022 20:22
500 ft. 10 Gauge Black Stranded Copper THHN Wire,145,amazon,https://www.amazon.com/Gauge-Stranded-Copper-Building-Wire/dp/B08DZMFZTR,10/20/2022 20:22
