material_description,material_price,vendor,location,dow,zip,region,date,steel_price,copper_price,target_price
1 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,20.62,homedepot,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",Thursday,30339,southeast,2022-10-20,1500.53,7585.5,about average
1 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,17.55,wilmar,"28 Biopolis Road. Singapore, 138568",Thursday,other,other,2022-10-20,1500.53,7585.5,low price
1 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,8.9,linemen-tools,"5941 1st Avenue Eastman, GA, 31023",Thursday,31023,southeast,2022-10-20,1500.53,7585.5,low price
1 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,24.99,truevalue,"8600 W Bryn Mawr Ave. Chicago, IL, 60631",Thursday,60631,central,2022-10-20,1500.53,7585.5,high price
1 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,20.62,homedepot,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",Friday,30339,southeast,2022-10-21,1580.45,7543.0,about average
1 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,17.55,wilmar,"28 Biopolis Road. Singapore, 138568",Friday,other,other,2022-10-21,1580.45,7543.0,low price
1 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,24.99,truevalue,"8600 W Bryn Mawr Ave. Chicago, IL, 60631",Friday,60631,central,2022-10-21,1580.45,7543.0,high price
1 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,34.23,ebarnett,"4601 Bulls Bay Hwy #100. Jacksonville, FL, 32219",Friday,32219,southeast,2022-10-21,1580.45,7543.0,high price
1 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,8.9,linemen-tools,"5941 1st Avenue Eastman, GA, 31023",Saturday,31023,southeast,2022-10-22,1545.64,7540.0,low price
1 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,33.34,dkhardware,"1835 E Hallandale Bch 264 Hallandale. Beach, FL, 33009",Saturday,33009,southeast,2022-10-22,1545.64,7540.0,high price
1 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,20.62,homedepot,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",Monday,30339,southeast,2022-10-24,1545.64,7540.0,about average
1 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,17.55,wilmar,"28 Biopolis Road. Singapore, 138568",Monday,other,other,2022-10-24,1545.64,7540.0,low price
1 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,8.9,linemen-tools,"5941 1st Avenue Eastman, GA, 31023",Monday,31023,southeast,2022-10-24,1545.64,7540.0,low price
1 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,24.99,truevalue,"8600 W Bryn Mawr Ave. Chicago, IL, 60631",Monday,60631,central,2022-10-24,1545.64,7540.0,high price
1 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,20.62,homedepot,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",Tuesday,30339,southeast,2022-10-25,1549.37,7534.85,about average
1 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,17.55,wilmar,"28 Biopolis Road. Singapore, 138568",Tuesday,other,other,2022-10-25,1549.37,7534.85,low price
1 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,8.9,linemen-tools,"5941 1st Avenue Eastman, GA, 31023",Tuesday,31023,southeast,2022-10-25,1549.37,7534.85,low price
1 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,24.99,truevalue,"8600 W Bryn Mawr Ave. Chicago, IL, 60631",Tuesday,60631,central,2022-10-25,1549.37,7534.85,high price
1 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,20.62,homedepot,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",Wednesday,30339,southeast,2022-10-26,1569.01,7762.0,about average
1 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,17.55,wilmar,"28 Biopolis Road. Singapore, 138568",Wednesday,other,other,2022-10-26,1569.01,7762.0,low price
