material_description,material_price,vendor,location,dow,zip,region,date,steel_price,copper_price,target price
3/4 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,11.91,homedepot,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",Thursday,30339,southeast,2022-10-20,1500.53,7585.5,high price
3/4 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,10.47,ebarnett,"4601 Bulls Bay Hwy #100. Jacksonville, FL, 32219",Thursday,32219,southeast,2022-10-20,1500.53,7585.5,about average
3/4 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,8.36,gordonelectricsupply,"1290 N Hobbie Ave. Kankakee, Illinois, 60901",Thursday,60901,central,2022-10-20,1500.53,7585.5,low price
3/4 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,11.91,homedepot,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",Friday,30339,southeast,2022-10-21,1580.45,7543.0,high price
3/4 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,10.47,ebarnett,"4601 Bulls Bay Hwy #100. Jacksonville, FL, 32219",Friday,32219,southeast,2022-10-21,1580.45,7543.0,about average
3/4 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,8.36,gordonelectricsupply,"1290 N Hobbie Ave. Kankakee, Illinois, 60901",Friday,60901,central,2022-10-21,1580.45,7543.0,low price
3/4 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,11.91,homedepot,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",Saturday,30339,southeast,2022-10-22,1545.64,7540.0,high price
3/4 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,10.47,ebarnett,"4601 Bulls Bay Hwy #100. Jacksonville, FL, 32219",Saturday,32219,southeast,2022-10-22,1545.64,7540.0,about average
3/4 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,8.36,gordonelectricsupply,"1290 N Hobbie Ave. Kankakee, Illinois, 60901",Saturday,60901,central,2022-10-22,1545.64,7540.0,low price
3/4 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,11.91,homedepot,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",Monday,30339,southeast,2022-10-24,1545.64,7540.0,high price
3/4 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,10.47,ebarnett,"4601 Bulls Bay Hwy #100. Jacksonville, FL, 32219",Monday,32219,southeast,2022-10-24,1545.64,7540.0,about average
3/4 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,8.36,gordonelectricsupply,"1290 N Hobbie Ave. Kankakee, Illinois, 60901",Monday,60901,central,2022-10-24,1545.64,7540.0,low price
3/4 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,11.91,homedepot,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",Tuesday,30339,southeast,2022-10-25,1549.37,7534.85,high price
3/4 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,10.47,ebarnett,"4601 Bulls Bay Hwy #100. Jacksonville, FL, 32219",Tuesday,32219,southeast,2022-10-25,1549.37,7534.85,about average
3/4 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,8.36,gordonelectricsupply,"1290 N Hobbie Ave. Kankakee, Illinois, 60901",Tuesday,60901,central,2022-10-25,1549.37,7534.85,low price
3/4 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,11.91,homedepot,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",Wednesday,30339,southeast,2022-10-26,1569.01,7762.0,high price
3/4 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,10.47,ebarnett,"4601 Bulls Bay Hwy #100. Jacksonville, FL, 32219",Wednesday,32219,southeast,2022-10-26,1569.01,7762.0,about average
3/4 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,8.36,gordonelectricsupply,"1290 N Hobbie Ave. Kankakee, Illinois, 60901",Wednesday,60901,central,2022-10-26,1569.01,7762.0,low price
