material_description,material_price,vendor,location,formatted_datetime,dow,zip,region,target price
250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,114.0,amazon,"410 Terry Ave N. Seattle, WA, 98109",10/20/2022 20:22,Thursday,98109,west,about average
250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,118.0,lowes,"1000 Lowe's Blvd. Mooresville, NC, 28117",10/20/2022 20:22,Thursday,28117,east,high price
250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,113.98,ebay,"2025 Hamilton Avenue. San Jose, California, 95125",10/20/2022 20:22,Thursday,95125,west,about average
250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,117.0,socalelectric,"5512 West Pico Blvd. Los Angeles, CA, 90019",10/20/2022 20:22,Thursday,90019,west,high price
250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,90.0,com/products/southwire-romex-simpull-250-ft-14-2-solid-non-metallic-wire-by-the-roll,online,10/20/2022 20:22,Thursday,other,other,low price
250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,114.0,amazon,"410 Terry Ave N. Seattle, WA, 98109",10/21/2022 15:55,Friday,98109,west,about average
250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,118.0,lowes,"1000 Lowe's Blvd. Mooresville, NC, 28117",10/21/2022 15:55,Friday,28117,east,high price
250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,113.98,ebay,"2025 Hamilton Avenue. San Jose, California, 95125",10/21/2022 15:55,Friday,95125,west,about average
250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,117.0,socalelectric,"5512 West Pico Blvd. Los Angeles, CA, 90019",10/21/2022 15:55,Friday,90019,west,high price
250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,114.0,amazon,"410 Terry Ave N. Seattle, WA, 98109",10/22/2022 20:22,Saturday,98109,west,about average
250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,128.62,ebay,"2025 Hamilton Avenue. San Jose, California, 95125",10/22/2022 20:22,Saturday,95125,west,high price
250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,87.99,com/p/solid-romex-simpull-cu-nm-b-wire-032886163005,online,10/22/2022 20:22,Saturday,other,other,low price
250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,114.0,amazon,"410 Terry Ave N. Seattle, WA, 98109",10/23/2022 23:33:41,Sunday,98109,west,about average
250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,111.99,ebay,"2025 Hamilton Avenue. San Jose, California, 95125",10/23/2022 23:33:41,Sunday,95125,west,about average
250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,84.99,landmsupply,"1200 E Us Hwy 169. Grand Rapids, Minnesota, 55744",10/23/2022 23:33:41,Sunday,55744,northplaines,low price
250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,118.0,homedepot,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",10/24/2022 14:10:34,Monday,30339,southeast,high price
250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,114.0,amazon,"410 Terry Ave N. Seattle, WA, 98109",10/24/2022 14:10:34,Monday,98109,west,about average
250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,111.99,ebay,"2025 Hamilton Avenue. San Jose, California, 95125",10/24/2022 14:10:34,Monday,95125,west,about average
250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,84.99,landmsupply,"1200 E Us Hwy 169. Grand Rapids, Minnesota, 55744",10/24/2022 14:10:34,Monday,55744,northplaines,low price
250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,118.0,homedepot,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",10/25/2022 09:25:56,Tuesday,30339,southeast,high price
250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,114.0,amazon,"410 Terry Ave N. Seattle, WA, 98109",10/25/2022 09:25:56,Tuesday,98109,west,about average
250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,111.99,ebay,"2025 Hamilton Avenue. San Jose, California, 95125",10/25/2022 09:25:56,Tuesday,95125,west,about average
