material_description,material_price,vendor,location,dow,zip,region,date,raw_material,steel_price,copper_price,target_price
500 ft. 10 Gauge Black Stranded Copper THHN Wire,145.0,homedepot,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",Thursday,30339,southeast,2022-10-20,copper,1500.53,7585.5,low price
500 ft. 10 Gauge Black Stranded Copper THHN Wire,171.5,amazon,"410 Terry Ave N. Seattle, WA, 98109",Thursday,98109,west,2022-10-20,copper,1500.53,7585.5,high price
500 ft. 10 Gauge Black Stranded Copper THHN Wire,398.95,cooper-electric,"1 Matrix Drive. Monroe, NJ, 08831",Thursday,08831,northeast,2022-10-20,copper,1500.53,7585.5,high price
500 ft. 10 Gauge Black Stranded Copper THHN Wire,156.0,homedepot,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",Friday,30339,southeast,2022-10-21,copper,1580.45,7543.0,about average
500 ft. 10 Gauge Black Stranded Copper THHN Wire,171.49,amazon,"410 Terry Ave N. Seattle, WA, 98109",Friday,98109,west,2022-10-21,copper,1580.45,7543.0,high price
500 ft. 10 Gauge Black Stranded Copper THHN Wire,398.95,cooper-electric,"1 Matrix Drive. Monroe, NJ, 08831",Friday,08831,northeast,2022-10-21,copper,1580.45,7543.0,high price
500 ft. 10 Gauge Black Stranded Copper THHN Wire,165.0,wireandcableyourway,"1431 7th St Ste 204. Santa Monica, California, 90401",Friday,90401,west,2022-10-21,copper,1580.45,7543.0,high price
500 ft. 10 Gauge Black Stranded Copper THHN Wire,156.0,homedepot,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",Saturday,30339,southeast,2022-10-22,copper,1545.64,7540.0,about average
500 ft. 10 Gauge Black Stranded Copper THHN Wire,156.49,amazon,"410 Terry Ave N. Seattle, WA, 98109",Saturday,98109,west,2022-10-22,copper,1545.64,7540.0,about average
500 ft. 10 Gauge Black Stranded Copper THHN Wire,398.95,cooper-electric,"1 Matrix Drive. Monroe, NJ, 08831",Saturday,08831,northeast,2022-10-22,copper,1545.64,7540.0,high price
500 ft. 10 Gauge Black Stranded Copper THHN Wire,145.0,homedepot,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",Sunday,30339,southeast,2022-10-23,copper,1545.64,7540.0,low price
500 ft. 10 Gauge Black Stranded Copper THHN Wire,155.99,amazon,"410 Terry Ave N. Seattle, WA, 98109",Sunday,98109,west,2022-10-23,copper,1545.64,7540.0,low price
