material_description,material_price,vendor,location,dow,zip,region,date,steel_price,copper_price,target_price
500 ft. 6 Gauge Black Stranded Copper THHN Wire,355.5,lowes,"1000 Lowe's Blvd. Mooresville, NC, 28117",Thursday,28117,east,2022-10-20,1500.53,7585.5,low price
500 ft. 6 Gauge Black Stranded Copper THHN Wire,425.0,homedepot,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",Thursday,30339,southeast,2022-10-20,1500.53,7585.5,about average
500 ft. 6 Gauge Black Stranded Copper THHN Wire,460.0,amazon,"410 Terry Ave N. Seattle, WA, 98109",Thursday,98109,west,2022-10-20,1500.53,7585.5,about average
500 ft. 6 Gauge Black Stranded Copper THHN Wire,445.81,ebay,"2025 Hamilton Avenue. San Jose, California, 95125",Thursday,95125,west,2022-10-20,1500.53,7585.5,about average
500 ft. 6 Gauge Black Stranded Copper THHN Wire,445.81,ebay,"2025 Hamilton Avenue. San Jose, California, 95125",Friday,95125,west,2022-10-21,1580.45,7543.0,about average
500 ft. 6 Gauge Black Stranded Copper THHN Wire,445.81,ebay,"2025 Hamilton Avenue. San Jose, California, 95125",Saturday,95125,west,2022-10-22,1545.64,7540.0,about average
500 ft. 6 Gauge Black Stranded Copper THHN Wire,425.0,homedepot,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",Sunday,30339,southeast,2022-10-23,1545.64,7540.0,about average
500 ft. 6 Gauge Black Stranded Copper THHN Wire,470.43,amazon,"410 Terry Ave N. Seattle, WA, 98109",Sunday,98109,west,2022-10-23,1545.64,7540.0,high price
500 ft. 6 Gauge Black Stranded Copper THHN Wire,445.81,ebay,"2025 Hamilton Avenue. San Jose, California, 95125",Sunday,95125,west,2022-10-23,1545.64,7540.0,about average
500 ft. 6 Gauge Black Stranded Copper THHN Wire,379.0,homedepot,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",Monday,30339,southeast,2022-10-24,1545.64,7540.0,low price
500 ft. 6 Gauge Black Stranded Copper THHN Wire,470.43,amazon,"410 Terry Ave N. Seattle, WA, 98109",Monday,98109,west,2022-10-24,1545.64,7540.0,high price
500 ft. 6 Gauge Black Stranded Copper THHN Wire,445.81,ebay,"2025 Hamilton Avenue. San Jose, California, 95125",Monday,95125,west,2022-10-24,1545.64,7540.0,about average
500 ft. 6 Gauge Black Stranded Copper THHN Wire,379.0,homedepot,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",Tuesday,30339,southeast,2022-10-25,1549.37,7534.85,low price
500 ft. 6 Gauge Black Stranded Copper THHN Wire,470.43,amazon,"410 Terry Ave N. Seattle, WA, 98109",Tuesday,98109,west,2022-10-25,1549.37,7534.85,high price
500 ft. 6 Gauge Black Stranded Copper THHN Wire,445.81,ebay,"2025 Hamilton Avenue. San Jose, California, 95125",Tuesday,95125,west,2022-10-25,1549.37,7534.85,about average
500 ft. 6 Gauge Black Stranded Copper THHN Wire,1144.69,cooper-electric,"1 Matrix Drive. Monroe, NJ, 08831",Tuesday,08831,northeast,2022-10-25,1549.37,7534.85,high price
