vendor_id,vendor,location
0,homedepot,"2455 Paces Ferry Rd SE. Atlanta, GA 30339"
1,lowes,"1000 Lowe's Blvd. Mooresville, NC 28117"
2,gordonelectricsupply,"1290 N Hobbie Ave. Kankakee, Illinois"
3,supplyworks,"6260 Abbott Dr. Omaha, Nebraska, 68110"
4,ebarnett,"4601 Bulls Bay Hwy #100. Jacksonville, FL 32219"
5,menards,"4777 Menard Drive. Eau Claire, Wisconsin 54703"
6,amazon,"410 Terry Ave N. Seattle, WA 98109"
7,wilmar,28 Biopolis Road. Singapore 138568
8,ebay,"2025 Hamilton Avenue. San Jose, California 95125"
9,landmsupply,"1200 E Us Hwy 169. Grand Rapids, Minnesota 55744"
10,walmart,"702 S.W. 8th St. Bentonville, Arkansas 72716"
11,qcsupply,"574 Road 11. Schuyler, Nebraska 68661"
12,wireandcableyourway,"1431 7th St Ste 204. Santa Monica, California 90401"
13,pinterest,"651 Brannan St. San Francisco, CA 94107"
14,southwestlumber,"1917 S Avenue B. Yuma, AZ 85364"
15,linemen-tools,"5941 1st Avenue Eastman, GA 31023"
16,dkhardware,"1835 E Hallandale Bch 264 Hallandale. Beach, FL 33009"
17,cooper-electric,"1 Matrix Drive. Monroe, NJ 08831"
18,truevalue,"8600 W Bryn Mawr Ave. Chicago, IL 60631"
19,mecampbell,"2975 Lapeer Rd. Port Huron, Michigan, 48060"
20,rona,"220 ch du Tremblay Boucherville. QC, J4B 8H7 Canada"
21,superarbor,online_only
22,socalelectric,online_only
23,com/p/solid-romex-simpull-cu-nm-b-wire-032886163005,online_only
24,com/p/halex-screw-emt-conduit-connector-051411262723,online_only
25,com/p/steel-city-emt-conduit-connector-785991183801,online_only
26,com/product/14-3-nm-b-wg-romex-wire-cable/,online_only
