material_description,vendor,material_price,link,formatted_datetime,dow,vendor_id,location,product_id
250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,ebay,111.07,https://www.ebay.com/itm/363478081520,11/5/2022,Saturday,7,"2025 Hamilton Avenue. San Jose, California, 95125",202304774
250 ft. 12/2 Solid Romex SIMpull CU NM-B W/G Wire,dkhardware,200.02,https://www.dkhardware.com/southwire-250-ft-12-2-solid-romex-simpull-cu-nm-b-w-g-wire-28828255-product-3154834.html,10/21/2022,Friday,15,"1835 E Hallandale Bch 264 Hallandale. Beach, FL, 33009",202304645
1/2 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,ebarnett,5.88,https://www.ebarnett.com/Sku/2487615/12-in-x-10-ft-electric-metallic-tube-emt-conduit-091111020018-853428,11/8/2022,Tuesday,4,"4601 Bulls Bay Hwy #100. Jacksonville, FL, 32219",100400409
500 ft. 4 Gauge Black Stranded Copper THHN Wire,homedepot,765,https://www.homedepot.com/p/Southwire-500-ft-4-Black-Stranded-CU-SIMpull-THHN-Wire-20499001/202316585,10/20/2022,Thursday,0,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",202316275
1 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,homedepot,20.62,https://www.homedepot.com/p/1-in-x-10-ft-Electric-Metallic-Tube-EMT-Conduit-101568/100400409,10/27/2022,Thursday,0,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",100137321
250 ft. 12/2 Solid Romex SIMpull CU NM-B W/G Wire,ebay,161.21,https://www.ebay.com/b/12-2-Romex/92078/bn_7023251333,10/28/2022,Friday,7,"2025 Hamilton Avenue. San Jose, California, 95125",202304645
250 ft. 12/2 Solid Romex SIMpull CU NM-B W/G Wire,lowes,149,https://www.lowes.com/pd/Southwire-Romex-SIMpull-250-ft-12-2-Non-Metallic-Wire-By-the-Roll/1193433,11/2/2022,Wednesday,1,"1000 Lowe's Blvd. Mooresville, NC, 28117",202304645
3/4 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,amazon,98.99,https://www.amazon.com/EMT-Conduit-10-ft-Steel/dp/B0078RZC4M,11/5/2022,Saturday,6,"410 Terry Ave N. Seattle, WA, 98109",100400406
250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,lowes,118,https://www.lowes.com/pd/Southwire-Romex-SIMpull-250-ft-14-2-Non-Metallic-Wire-By-the-Roll/1193437,11/9/2022,Wednesday,1,"1000 Lowe's Blvd. Mooresville, NC, 28117",202304774
1/2 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,supplyworks,5.88,https://www.supplyworks.com/Sku/2487615/12-in-x-10-ft-electric-metallic-tube-emt-conduit-091111020018-853428,11/4/2022,Friday,3,"6260 Abbott Dr. Omaha, Nebraska, 68110",100400409
