Material Description,link,Material Price,Vendor Location
1/2 in. x 10 ft. Electric Metallic Tube (EMT) Conduit 853428,https://www.homedepot.com/p/1-2-in-x-10-ft-Electric-Metallic-Tube-EMT-Conduit-853428/100400405,7.22,homedepot
"ALLIED 898302 EMT CONDUIT 1/2"" EMT CONDUIT X 10",https://www.gordonelectricsupply.com/p/Allied-898302-Emt-Conduit-1-2-Emt-Conduit-X-10/1608,4.73,gordonelectricsupply
3/4 in. x 10 ft. Electric Metallic Tube (EMT) Conduit 853429,https://www.homedepot.com/p/3-4-in-x-10-ft-Electric-Metallic-Tube-EMT-Conduit-853429/100400406,11.91,homedepot
"ALLIED 898303 EMT CONDUIT 3/4"" EMT CONDUIT X 10",https://www.gordonelectricsupply.com/p/Allied-898303-Emt-Conduit-3-4-Emt-Conduit-X-10/1673,8.36,gordonelectricsupply
"34E :: EMT Conduit, 3/4"", Steel, 10 - Platt Electric Supply",https://www.platt.com/p/0065970/emt-conduit-3-4-steel-10/091111020025/34e,1.37,platt
1 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,https://www.homedepot.com/p/1-in-x-10-ft-Electric-Metallic-Tube-EMT-Conduit-101568/100400409,21.83,homedepot
Allied Tube And Conduit 1 In. X 10 Ft. Electric Metallic ...,https://www.wilmar.com/Sku/24-87610/allied-tube-and-conduit-1-in-x-10-ft-electric-metallic-tube-emt-conduit-091111020032-101568,17.55,wilmar
"1E :: EMT Conduit, 1"", Steel, 10 - Platt Electric",https://www.platt.com/p/0065797/emt-conduit-1-steel-10/091111020032/1e,2.59,platt
Halex 1/2 in. Electrical Metallic Tube (EMT) Set-Screw ...,https://www.homedepot.com/p/Halex-1-2-in-Electrical-Metallic-Tube-EMT-Set-Screw-Connectors-5-Pack-26270/100137321,3.98,homedepot
"Halex, 1/2 in. Electrical Metallic Tube (EMT) Set-Screw ...",https://www.amazon.com/Halex-26270-STEEL-CONNECTOR-Silver/dp/B00L2J46LW,5.99,amazon
Sigma ProConnex 1/2-in Zinc-plated Steel Set Screw ...,https://www.lowes.com/pd/Sigma-Electric-ProConnex-1-2-in-Set-Screw-Connector-Electrical-Metal-Tubing-Compatible-Conduit-Fitting/1000152643,5.99,lowes
Halex 3/4 in. Electrical Metallic Tube (EMT) Set-Screw ...,https://www.homedepot.com/p/Halex-3-4-in-Electrical-Metallic-Tube-EMT-Set-Screw-Connectors-5-Pack-26272/100163157,4.6,homedepot
Halex 3/4-in Steel Set Screw Connector Conduit Fittings (5 ...,https://www.lowes.com/pd/Halex-3-4-in-EMT-STEEL-SET-SCREW-CONNECTOR-5-BAG/1002846668,5.99,lowes
"Halex, 3/4 in. Electrical Metallic Tube (EMT) Set-Screw ...",https://www.amazon.com/Halex-26272-Steel-CONNECTORS-Silver/dp/B00Q3FDUP8,8.0,amazon
1 in. Electrical Metallic Tube (EMT) Set-Screw Connector,https://www.homedepot.com/p/Halex-1-in-Electrical-Metallic-Tube-EMT-Set-Screw-Connector-62710/100562217,1.6,homedepot
Sigma ProConnex 1-in Zinc-plated Steel Set Screw ...,https://www.lowes.com/pd/Sigma-Electric-ProConnex-1-in-Set-Screw-Connector-Electrical-Metal-Tubing-Compatible-Conduit-Fitting/50101820,5.99,lowes
"Morris Products 14882 EMT Set Screw Connector, Steel, 1 ...",https://www.amazon.com/Morris-Products-14882-Screw-Connector/dp/B00VNTA8E0,16.54,amazon
"EMT Set Screw Connector, Steel, 1 inch - Platt Electric Supply",https://www.platt.com/p/0066362/emt-set-screw-connector-steel-1-inch/050169020043/1essscn,18.1,platt
"1 in. EMT Set Screw Coupling, Steel - Garvin Industries",https://www.garvinindustries.com/commercial-industrial-residential-fittings/nipples-elbows-couplings/1-in-emt-set-screw-coupling-steel/p/SSCP-100,21.43,garvinindustries
RACO 1/2 in. EMT Set-Screw Coupling (5-Pack) 2022B5,https://www.homedepot.com/p/RACO-1-2-in-EMT-Set-Screw-Coupling-5-Pack-2022B5/203671378,2.5,homedepot
Halex 1/2 In. Electrical Metallic Tube (Emt) Set-Screw ... - Wilmar,https://www.wilmar.com/Sku/202077151/halex-12-in-electrical-metallic-tube-emt-set-screw-coupling-5-pack-051411232207-23220,2.29,wilmar
3/4 in. Standard Fitting Electric Metallic Tube (EMT) Set- ...,https://www.homedepot.com/p/Halex-3-4-in-Electric-Metallic-Tube-EMT-Set-Screw-Coupling-5-Pack-26282/202288508,2.98,homedepot
1 in. Electric Metallic Tube (EMT) Set-Screw Coupling,https://www.homedepot.com/p/Halex-1-in-Electric-Metallic-Tube-EMT-Set-Screw-Coupling-62810/202241090,1.15,homedepot
