Manufactures Description,link,Material Price,Common_name,Vendor Location
1/2 In. X 10 Ft. Electric Metallic Tube (Emt) Conduit,https://www.ebay.com/p/1700352648,4.73,1/2 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,ebay
3/4 In. X 10 Ft. Electric Metallic Tube (Emt) Conduit,https://www.ebarnett.com/Sku/2487616/34-in-x-10-ft-electric-metallic-tube-emt-conduit-091111020025-853429,8.36,3/4 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,ebarnett
1 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,https://www.homedepot.com/p/1-in-x-10-ft-Electric-Metallic-Tube-EMT-Conduit-101568/100400409,8.9,1 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,homedepot
Halex 1 in. Electrical Metallic Tube (EMT) Set-Screw Coupling ...,https://www.amazon.com/Halex-26270-STEEL-CONNECTOR-Silver/dp/B00L2J46LW,2.1,1/2 in. Electric Metallic Tube (EMT) Set-Screw Coupling (5-Pack),amazon
3/4 in. Standard Fitting Electric Metallic Tube (EMT) Set- ...,https://www.homedepot.com/p/Halex-3-4-in-Electric-Metallic-Tube-EMT-Set-Screw-Coupling-5-Pack-26282/202288508,2.98,3/4 in. Standard Fitting Electric Metallic Tube (EMT) Set-Screw Coupling (5-Pack),homedepot
1 in. Electric Metallic Tube (EMT) Set-Screw Coupling,https://www.homedepot.com/p/Halex-1-in-Electric-Metallic-Tube-EMT-Set-Screw-Coupling-62810/202241090,1.15,1 in. Electric Metallic Tube (EMT) Set-Screw Coupling,homedepot
Halex 1/2 in. Electrical Metallic Tube (EMT) Set-Screw ...,https://www.amazon.com/Halex-26270-STEEL-CONNECTOR-Silver/dp/B00L2J46LW,3.98,1/2 in. Electrical Metallic Tube (EMT) Set-Screw Connectors (5-Pack),amazon
Halex 3/4 in. Electrical Metallic Tube (EMT) Set-Screw ...,https://www.homedepot.com/p/Halex-3-4-in-Electrical-Metallic-Tube-EMT-Set-Screw-Connectors-5-Pack-26272/100163157,4.6,3/4 in. Electrical Metallic Tube (EMT) Set-Screw Connector (5-Pack),homedepot
1 in. Electrical Metallic Tube (EMT) Set-Screw Connector,https://www.homedepot.com/p/Halex-1-in-Electrical-Metallic-Tube-EMT-Set-Screw-Connector-62710/100562217,1.6,1 in. Electrical Metallic Tube (EMT) Set-Screw Connector,homedepot
14 2 Romex Indiana OTHER Industrial Wires & Cables,https://denalibuildingsupply.com/products/southwire-romex-simpull-250-ft-14-2-solid-non-metallic-wire-by-the-roll,90.0,250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,amazon
250 ft. 14/3 Solid Romex SIMpull CU NM-B W/G Wire,https://www.dkhardware.com/southwire-250-ft-14-3-solid-romex-simpull-cu-nm-b-w-g-wire-63946855-product-3154366.html,158.0,250 ft. 14/3 Solid Romex SIMpull CU NM-B W/G Wire,dkhardware
250 ft. 12/2 Solid Romex SIMpull CU NM-B W/G Wire,https://www.dkhardware.com/southwire-250-ft-12-2-solid-romex-simpull-cu-nm-b-w-g-wire-28828255-product-3154834.html,149.0,250 ft. 12/2 Solid Romex SIMpull CU NM-B W/G Wire,dkhardware
250 ft. 12/3 Romex® SIMpull® NM-B W/G Wire - QC Supply,https://www.homedepot.com/p/Southwire-250-ft-12-3-Solid-Romex-SIMpull-CU-NM-B-W-G-Wire-63947655/202316276,289.0,250 ft. 12/3 Solid Romex SIMpull CU NM-B W/G Wire,homedepot
500 ft. 4 Black Stranded CU SIMpull THHN Wire,https://www.amazon.com/SOUTHWIRE-COMPANY-LL-20499001-Stranded/dp/B002JFY1W2,613.64,500 ft. 4 Gauge Black Stranded Copper THHN Wire,amazon
500 ft. 6 Black Stranded CU SIMpull THHN Wire,https://www.amazon.com/Cerrowire-112-4201J-500-Feet-Stranded-Black/dp/B00D49VU6W,355.5,500 ft. 6 Gauge Black Stranded Copper THHN Wire,amazon
10 AWG THHN/THWN-2 Stranded Wire - sold by the spool,https://www.amazon.com/Gauge-Stranded-Copper-Building-Wire/dp/B08DZMFZTR,145.0,500 ft. 10 Gauge Black Stranded Copper THHN Wire,amazon
